Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Ульяновская область, все устройства
февраль 2022;55;0,000068;
март 2022;510;0,000606;
апрель 2022;608;0,000794;
май 2022;450;0,000584;
июнь 2022;463;0,000685;
июль 2022;296;0,000446;
август 2022;248;0,000381;
сентябрь 2022;369;0,000497;
октябрь 2022;480;0,000604;
ноябрь 2022;405;0,000498;
декабрь 2022;429;0,000517;
январь 2023;438;0,000532;
февраль 2023;464;0,000623;
март 2023;461;0,000560;
апрель 2023;347;0,000476;
май 2023;424;0,000575;
июнь 2023;435;0,000654;
июль 2023;551;0,000852;
август 2023;508;0,000794;
сентябрь 2023;578;0,000831;
октябрь 2023;563;0,000720;
ноябрь 2023;707;0,000924;
декабрь 2023;808;0,001040;
январь 2024;993;0,001265;
февраль 2024;1 176;0,001630;
март 2024;1 193;0,001557;
апрель 2024;887;0,001294;
май 2024;1 180;0,001709;
июнь 2024;973;0,001608;
июль 2024;862;0,001438;
август 2024;1 029;0,001692;
сентябрь 2024;1 261;0,001988;
октябрь 2024;1 345;0,001833;
ноябрь 2024;1 421;0,001874;
декабрь 2024;1 593;0,002011;
январь 2025;1 990;0,002502;
февраль 2025;2 285;0,003084;
март 2025;2 196;0,002767;
апрель 2025;2 048;0,002839;
май 2025;1 833;0,002662;
