Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Чувашская Республика, все устройства
февраль 2022;38;0,000046;
март 2022;298;0,000358;
апрель 2022;320;0,000403;
май 2022;182;0,000234;
июнь 2022;212;0,000321;
июль 2022;190;0,000297;
август 2022;185;0,000293;
сентябрь 2022;299;0,000396;
октябрь 2022;296;0,000360;
ноябрь 2022;438;0,000529;
декабрь 2022;222;0,000263;
январь 2023;346;0,000415;
февраль 2023;352;0,000462;
март 2023;279;0,000337;
апрель 2023;225;0,000295;
май 2023;277;0,000367;
июнь 2023;281;0,000428;
июль 2023;238;0,000370;
август 2023;401;0,000635;
сентябрь 2023;263;0,000372;
октябрь 2023;320;0,000396;
ноябрь 2023;469;0,000591;
декабрь 2023;409;0,000504;
январь 2024;501;0,000629;
февраль 2024;447;0,000597;
март 2024;488;0,000638;
апрель 2024;601;0,000831;
май 2024;796;0,001119;
июнь 2024;808;0,001397;
июль 2024;829;0,001424;
август 2024;713;0,001221;
сентябрь 2024;999;0,001563;
октябрь 2024;1 190;0,001593;
ноябрь 2024;1 456;0,001872;
декабрь 2024;1 378;0,001672;
январь 2025;1 715;0,002160;
февраль 2025;1 671;0,002174;
март 2025;1 798;0,002288;
апрель 2025;1 874;0,002458;
май 2025;1 551;0,002210;
