Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Астраханская область, все устройства
февраль 2022;16;0,000031;
март 2022;348;0,000653;
апрель 2022;176;0,000346;
май 2022;150;0,000291;
июнь 2022;131;0,000286;
июль 2022;120;0,000273;
август 2022;155;0,000354;
сентябрь 2022;261;0,000519;
октябрь 2022;269;0,000496;
ноябрь 2022;157;0,000286;
декабрь 2022;221;0,000375;
январь 2023;334;0,000603;
февраль 2023;419;0,000816;
март 2023;588;0,001090;
апрель 2023;317;0,000612;
май 2023;330;0,000631;
июнь 2023;297;0,000659;
июль 2023;350;0,000798;
август 2023;424;0,000977;
сентябрь 2023;325;0,000674;
октябрь 2023;314;0,000592;
ноябрь 2023;573;0,001085;
декабрь 2023;486;0,000902;
январь 2024;442;0,000833;
февраль 2024;490;0,000979;
март 2024;500;0,000981;
апрель 2024;430;0,000919;
май 2024;479;0,001033;
июнь 2024;585;0,001456;
июль 2024;695;0,001771;
август 2024;788;0,002005;
сентябрь 2024;767;0,001803;
октябрь 2024;970;0,002034;
ноябрь 2024;1 024;0,002069;
декабрь 2024;996;0,001920;
январь 2025;1 355;0,002671;
февраль 2025;1 393;0,002859;
март 2025;1 863;0,003697;
апрель 2025;1 943;0,004025;
май 2025;1 638;0,003581;
