Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Волгоградская область, все устройства
февраль 2022;115;0,000075;
март 2022;1 133;0,000670;
апрель 2022;634;0,000417;
май 2022;813;0,000531;
июнь 2022;895;0,000650;
июль 2022;696;0,000506;
август 2022;602;0,000434;
сентябрь 2022;1 210;0,000797;
октябрь 2022;1 229;0,000752;
ноябрь 2022;1 214;0,000729;
декабрь 2022;1 012;0,000605;
январь 2023;1 501;0,000910;
февраль 2023;1 392;0,000916;
март 2023;1 570;0,000954;
апрель 2023;1 368;0,000900;
май 2023;1 186;0,000774;
июнь 2023;1 488;0,001071;
июль 2023;1 212;0,000888;
август 2023;1 498;0,001102;
сентябрь 2023;1 342;0,000950;
октябрь 2023;1 349;0,000843;
ноябрь 2023;1 674;0,001039;
декабрь 2023;1 836;0,001117;
январь 2024;2 181;0,001351;
февраль 2024;2 038;0,001342;
март 2024;2 186;0,001371;
апрель 2024;1 870;0,001318;
май 2024;1 961;0,001383;
июнь 2024;1 843;0,001456;
июль 2024;2 146;0,001710;
август 2024;2 080;0,001667;
сентябрь 2024;2 107;0,001601;
октябрь 2024;2 633;0,001734;
ноябрь 2024;3 223;0,002034;
декабрь 2024;3 305;0,002013;
январь 2025;4 694;0,002876;
февраль 2025;4 669;0,003002;
март 2025;5 267;0,003239;
апрель 2025;4 993;0,003275;
май 2025;5 327;0,003716;
