Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Краснодарский край, все устройства
февраль 2022;155;0,000043;
март 2022;1 718;0,000426;
апрель 2022;979;0,000261;
май 2022;1 185;0,000312;
июнь 2022;998;0,000268;
июль 2022;1 120;0,000280;
август 2022;922;0,000225;
сентябрь 2022;1 845;0,000456;
октябрь 2022;1 608;0,000390;
ноябрь 2022;1 851;0,000451;
декабрь 2022;1 674;0,000406;
январь 2023;1 892;0,000459;
февраль 2023;2 294;0,000593;
март 2023;2 489;0,000599;
апрель 2023;1 917;0,000486;
май 2023;1 717;0,000442;
июнь 2023;1 860;0,000496;
июль 2023;2 275;0,000558;
август 2023;2 530;0,000613;
сентябрь 2023;2 095;0,000534;
октябрь 2023;1 963;0,000488;
ноябрь 2023;2 130;0,000531;
декабрь 2023;2 323;0,000575;
январь 2024;2 649;0,000644;
февраль 2024;3 141;0,000837;
март 2024;3 259;0,000840;
апрель 2024;2 873;0,000789;
май 2024;2 780;0,000765;
июнь 2024;2 869;0,000842;
июль 2024;3 055;0,000806;
август 2024;3 595;0,000929;
сентябрь 2024;4 054;0,001082;
октябрь 2024;4 901;0,001251;
ноябрь 2024;5 260;0,001308;
декабрь 2024;5 951;0,001439;
январь 2025;6 925;0,001665;
февраль 2025;6 892;0,001723;
март 2025;8 217;0,001961;
апрель 2025;8 369;0,002080;
май 2025;8 229;0,002125;
