Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Калмыкия, все устройства
февраль 2022;8;0,000066;
март 2022;81;0,000668;
апрель 2022;66;0,000579;
май 2022;39;0,000339;
июнь 2022;63;0,000611;
июль 2022;38;0,000365;
август 2022;44;0,000427;
сентябрь 2022;74;0,000676;
октябрь 2022;107;0,000902;
ноябрь 2022;78;0,000639;
декабрь 2022;76;0,000571;
январь 2023;83;0,000680;
февраль 2023;113;0,001023;
март 2023;122;0,001031;
апрель 2023;93;0,000820;
май 2023;99;0,000865;
июнь 2023;108;0,001066;
июль 2023;130;0,001268;
август 2023;92;0,000903;
сентябрь 2023;105;0,001005;
октябрь 2023;117;0,001017;
ноябрь 2023;102;0,000877;
декабрь 2023;157;0,001338;
январь 2024;155;0,001293;
февраль 2024;222;0,002013;
март 2024;235;0,002083;
апрель 2024;166;0,001586;
май 2024;136;0,001294;
июнь 2024;154;0,001677;
июль 2024;155;0,001644;
август 2024;218;0,002379;
сентябрь 2024;134;0,001391;
октябрь 2024;301;0,002831;
ноябрь 2024;244;0,002187;
декабрь 2024;265;0,002257;
январь 2025;321;0,002685;
февраль 2025;434;0,003875;
март 2025;446;0,003869;
апрель 2025;372;0,003285;
май 2025;340;0,003138;
