Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Ростовская область, все устройства
февраль 2022;137;0,000049;
март 2022;1 993;0,000642;
апрель 2022;1 117;0,000392;
май 2022;893;0,000311;
июнь 2022;858;0,000326;
июль 2022;819;0,000311;
август 2022;935;0,000348;
сентябрь 2022;1 954;0,000686;
октябрь 2022;1 932;0,000636;
ноябрь 2022;1 806;0,000582;
декабрь 2022;1 723;0,000549;
январь 2023;1 817;0,000587;
февраль 2023;1 994;0,000692;
март 2023;2 102;0,000676;
апрель 2023;1 957;0,000650;
май 2023;1 758;0,000594;
июнь 2023;2 067;0,000773;
июль 2023;2 191;0,000825;
август 2023;2 363;0,000889;
сентябрь 2023;1 753;0,000623;
октябрь 2023;2 001;0,000663;
ноябрь 2023;2 255;0,000744;
декабрь 2023;2 219;0,000722;
январь 2024;2 669;0,000854;
февраль 2024;2 958;0,001017;
март 2024;3 003;0,001015;
апрель 2024;2 833;0,001034;
май 2024;3 204;0,001165;
июнь 2024;2 889;0,001157;
июль 2024;2 972;0,001201;
август 2024;3 185;0,001266;
сентябрь 2024;3 205;0,001221;
октябрь 2024;3 490;0,001206;
ноябрь 2024;4 446;0,001467;
декабрь 2024;4 507;0,001446;
январь 2025;6 095;0,001992;
февраль 2025;6 557;0,002246;
март 2025;7 605;0,002478;
апрель 2025;7 957;0,002758;
май 2025;7 596;0,002734;
