Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Кемеровская область (Кузбасс), все устройства
февраль 2022;66;0,000041;
март 2022;661;0,000391;
апрель 2022;400;0,000251;
май 2022;364;0,000240;
июнь 2022;289;0,000207;
июль 2022;385;0,000289;
август 2022;368;0,000272;
сентябрь 2022;775;0,000512;
октябрь 2022;648;0,000387;
ноябрь 2022;543;0,000314;
декабрь 2022;481;0,000275;
январь 2023;800;0,000469;
февраль 2023;1 604;0,001004;
март 2023;1 575;0,000907;
апрель 2023;1 251;0,000749;
май 2023;989;0,000629;
июнь 2023;1 060;0,000780;
июль 2023;917;0,000692;
август 2023;888;0,000666;
сентябрь 2023;693;0,000479;
октябрь 2023;905;0,000558;
ноябрь 2023;1 131;0,000707;
декабрь 2023;990;0,000582;
январь 2024;1 289;0,000788;
февраль 2024;1 602;0,001019;
март 2024;1 645;0,001051;
апрель 2024;1 871;0,001248;
май 2024;1 641;0,001148;
июнь 2024;1 542;0,001272;
июль 2024;1 685;0,001434;
август 2024;2 123;0,001766;
сентябрь 2024;2 198;0,001668;
октябрь 2024;2 812;0,001815;
ноябрь 2024;3 132;0,002025;
декабрь 2024;3 387;0,002089;
январь 2025;3 837;0,002433;
февраль 2025;3 776;0,002454;
март 2025;4 118;0,002575;
апрель 2025;3 986;0,002614;
май 2025;3 935;0,002792;
