Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Красноярский край, все устройства
февраль 2022;104;0,000052;
март 2022;666;0,000310;
апрель 2022;514;0,000252;
май 2022;488;0,000258;
июнь 2022;464;0,000270;
июль 2022;374;0,000228;
август 2022;286;0,000161;
сентябрь 2022;919;0,000493;
октябрь 2022;855;0,000418;
ноябрь 2022;548;0,000258;
декабрь 2022;502;0,000234;
январь 2023;1 107;0,000532;
февраль 2023;1 411;0,000730;
март 2023;1 569;0,000729;
апрель 2023;1 577;0,000737;
май 2023;1 253;0,000618;
июнь 2023;1 117;0,000646;
июль 2023;882;0,000541;
август 2023;1 051;0,000618;
сентябрь 2023;978;0,000523;
октябрь 2023;1 142;0,000546;
ноябрь 2023;1 337;0,000644;
декабрь 2023;1 162;0,000543;
январь 2024;1 376;0,000672;
февраль 2024;1 833;0,000942;
март 2024;2 398;0,001166;
апрель 2024;2 425;0,001228;
май 2024;2 265;0,001237;
июнь 2024;2 245;0,001484;
июль 2024;2 311;0,001581;
август 2024;2 495;0,001691;
сентябрь 2024;2 788;0,001700;
октябрь 2024;3 733;0,001977;
ноябрь 2024;4 217;0,002186;
декабрь 2024;3 865;0,001928;
январь 2025;5 225;0,002694;
февраль 2025;5 501;0,002896;
март 2025;6 629;0,003360;
апрель 2025;6 870;0,003641;
май 2025;5 822;0,003309;
