Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Новосибирская область, все устройства
февраль 2022;132;0,000052;
март 2022;1 006;0,000378;
апрель 2022;643;0,000253;
май 2022;743;0,000298;
июнь 2022;536;0,000230;
июль 2022;585;0,000261;
август 2022;643;0,000276;
сентябрь 2022;1 255;0,000501;
октябрь 2022;1 060;0,000386;
ноябрь 2022;827;0,000291;
декабрь 2022;852;0,000301;
январь 2023;1 185;0,000433;
февраль 2023;1 618;0,000627;
март 2023;1 463;0,000523;
апрель 2023;1 391;0,000534;
май 2023;1 213;0,000493;
июнь 2023;1 244;0,000567;
июль 2023;1 173;0,000541;
август 2023;1 192;0,000558;
сентябрь 2023;1 021;0,000437;
октябрь 2023;1 175;0,000455;
ноябрь 2023;1 656;0,000652;
декабрь 2023;1 597;0,000612;
январь 2024;1 809;0,000682;
февраль 2024;2 097;0,000838;
март 2024;2 515;0,001014;
апрель 2024;2 276;0,000966;
май 2024;2 594;0,001138;
июнь 2024;2 456;0,001214;
июль 2024;2 656;0,001318;
август 2024;3 173;0,001571;
сентябрь 2024;3 356;0,001523;
октябрь 2024;4 147;0,001610;
ноябрь 2024;4 693;0,001833;
декабрь 2024;4 538;0,001726;
январь 2025;5 909;0,002259;
февраль 2025;6 185;0,002428;
март 2025;6 496;0,002408;
апрель 2025;6 210;0,002449;
май 2025;5 787;0,002433;
