Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Омская область, все устройства
февраль 2022;71;0,000057;
март 2022;627;0,000482;
апрель 2022;383;0,000320;
май 2022;441;0,000380;
июнь 2022;293;0,000272;
июль 2022;396;0,000391;
август 2022;262;0,000261;
сентябрь 2022;562;0,000498;
октябрь 2022;645;0,000521;
ноябрь 2022;568;0,000444;
декабрь 2022;479;0,000368;
январь 2023;885;0,000703;
февраль 2023;694;0,000590;
март 2023;888;0,000685;
апрель 2023;866;0,000716;
май 2023;867;0,000757;
июнь 2023;817;0,000783;
июль 2023;810;0,000820;
август 2023;730;0,000713;
сентябрь 2023;635;0,000584;
октябрь 2023;602;0,000498;
ноябрь 2023;813;0,000676;
декабрь 2023;719;0,000579;
январь 2024;991;0,000814;
февраль 2024;1 233;0,001068;
март 2024;1 524;0,001255;
апрель 2024;1 430;0,001289;
май 2024;1 474;0,001368;
июнь 2024;1 507;0,001636;
июль 2024;1 409;0,001573;
август 2024;1 654;0,001848;
сентябрь 2024;1 716;0,001751;
октябрь 2024;2 110;0,001867;
ноябрь 2024;2 543;0,002204;
декабрь 2024;2 408;0,001992;
январь 2025;3 053;0,002551;
февраль 2025;3 195;0,002781;
март 2025;3 358;0,002741;
апрель 2025;3 631;0,003155;
май 2025;3 478;0,003228;
