Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Алтай, все устройства
февраль 2022;9;0,000074;
март 2022;86;0,000671;
апрель 2022;93;0,000774;
май 2022;56;0,000481;
июнь 2022;48;0,000432;
июль 2022;41;0,000366;
август 2022;30;0,000158;
сентябрь 2022;46;0,000355;
октябрь 2022;62;0,000488;
ноябрь 2022;51;0,000374;
декабрь 2022;44;0,000325;
январь 2023;44;0,000332;
февраль 2023;113;0,000916;
март 2023;140;0,001036;
апрель 2023;139;0,001053;
май 2023;180;0,001425;
июнь 2023;156;0,001389;
июль 2023;145;0,001236;
август 2023;118;0,000997;
сентябрь 2023;108;0,000918;
октябрь 2023;116;0,000910;
ноябрь 2023;93;0,000731;
декабрь 2023;101;0,000759;
январь 2024;162;0,001247;
февраль 2024;142;0,001147;
март 2024;190;0,001532;
апрель 2024;144;0,001214;
май 2024;147;0,001265;
июнь 2024;150;0,001458;
июль 2024;185;0,001709;
август 2024;185;0,001735;
сентябрь 2024;206;0,001929;
октябрь 2024;304;0,002519;
ноябрь 2024;318;0,002542;
декабрь 2024;348;0,002627;
январь 2025;450;0,003544;
февраль 2025;431;0,003432;
март 2025;431;0,003330;
апрель 2025;402;0,003219;
май 2025;400;0,003328;
