Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Тыва, все устройства
февраль 2022;16;0,00012;
март 2022;119;0,00093;
апрель 2022;65;0,00055;
май 2022;58;0,00052;
июнь 2022;61;0,00064;
июль 2022;68;0,00075;
август 2022;51;0,00057;
сентябрь 2022;68;0,00062;
октябрь 2022;49;0,00040;
ноябрь 2022;68;0,00052;
декабрь 2022;21;0,00015;
январь 2023;81;0,00062;
февраль 2023;80;0,00070;
март 2023;129;0,00098;
апрель 2023;88;0,00068;
май 2023;103;0,00083;
июнь 2023;98;0,00098;
июль 2023;74;0,00077;
август 2023;74;0,00077;
сентябрь 2023;59;0,00051;
октябрь 2023;89;0,00069;
ноябрь 2023;114;0,00086;
декабрь 2023;201;0,00139;
январь 2024;156;0,00115;
февраль 2024;139;0,00111;
март 2024;162;0,00128;
апрель 2024;227;0,00184;
май 2024;228;0,00201;
июнь 2024;212;0,00234;
июль 2024;204;0,00229;
август 2024;224;0,00256;
сентябрь 2024;326;0,00311;
октябрь 2024;286;0,00232;
ноябрь 2024;303;0,00229;
декабрь 2024;378;0,00264;
январь 2025;496;0,00367;
февраль 2025;439;0,00341;
март 2025;527;0,00400;
апрель 2025;544;0,00414;
май 2025;534;0,00446;
