Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Томская область, все устройства
февраль 2022;9;0,000014;
март 2022;227;0,000339;
апрель 2022;132;0,000205;
май 2022;93;0,000153;
июнь 2022;63;0,000110;
июль 2022;95;0,000184;
август 2022;79;0,000152;
сентябрь 2022;231;0,000390;
октябрь 2022;228;0,000348;
ноябрь 2022;295;0,000434;
декабрь 2022;221;0,000321;
январь 2023;263;0,000398;
февраль 2023;333;0,000542;
март 2023;286;0,000423;
апрель 2023;290;0,000433;
май 2023;272;0,000438;
июнь 2023;263;0,000473;
июль 2023;231;0,000454;
август 2023;336;0,000662;
сентябрь 2023;345;0,000605;
октябрь 2023;386;0,000599;
ноябрь 2023;495;0,000781;
декабрь 2023;472;0,000715;
январь 2024;447;0,000712;
февраль 2024;512;0,000852;
март 2024;679;0,001099;
апрель 2024;878;0,001449;
май 2024;804;0,001396;
июнь 2024;711;0,001429;
июль 2024;885;0,001894;
август 2024;996;0,002143;
сентябрь 2024;1 092;0,002098;
октябрь 2024;1 262;0,002074;
ноябрь 2024;1 475;0,002391;
декабрь 2024;1 816;0,002805;
январь 2025;2 062;0,003358;
февраль 2025;1 900;0,003138;
март 2025;2 054;0,003230;
апрель 2025;2 155;0,003490;
май 2025;1 634;0,002875;
