Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Ивановская область, все устройства
февраль 2022;46;0,000071;
март 2022;353;0,000493;
апрель 2022;170;0,000250;
май 2022;197;0,000293;
июнь 2022;151;0,000255;
июль 2022;146;0,000253;
август 2022;135;0,000232;
сентябрь 2022;441;0,000674;
октябрь 2022;434;0,000625;
ноябрь 2022;265;0,000378;
декабрь 2022;191;0,000274;
январь 2023;336;0,000480;
февраль 2023;275;0,000429;
март 2023;284;0,000406;
апрель 2023;403;0,000618;
май 2023;340;0,000526;
июнь 2023;302;0,000515;
июль 2023;275;0,000473;
август 2023;300;0,000534;
сентябрь 2023;306;0,000508;
октябрь 2023;370;0,000545;
ноябрь 2023;546;0,000820;
декабрь 2023;362;0,000544;
январь 2024;514;0,000760;
февраль 2024;620;0,000979;
март 2024;533;0,000822;
апрель 2024;589;0,000952;
май 2024;647;0,001082;
июнь 2024;579;0,001092;
июль 2024;804;0,001525;
август 2024;763;0,001462;
сентябрь 2024;747;0,001343;
октябрь 2024;912;0,001451;
ноябрь 2024;1 026;0,001574;
декабрь 2024;1 031;0,001519;
январь 2025;1 411;0,002082;
февраль 2025;1 212;0,001879;
март 2025;1 448;0,002177;
апрель 2025;1 357;0,002092;
май 2025;1 438;0,002370;
