Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Еврейская автономная область, все устройства
февраль 2022;5;0,000077;
март 2022;74;0,001028;
апрель 2022;28;0,000388;
май 2022;64;0,000955;
июнь 2022;64;0,001036;
июль 2022;29;0,000475;
август 2022;32;0,000539;
сентябрь 2022;66;0,001001;
октябрь 2022;85;0,001212;
ноябрь 2022;68;0,000887;
декабрь 2022;31;0,000415;
январь 2023;22;0,000283;
февраль 2023;65;0,000937;
март 2023;67;0,000905;
апрель 2023;61;0,000841;
май 2023;48;0,000712;
июнь 2023;59;0,000976;
июль 2023;61;0,001020;
август 2023;39;0,000658;
сентябрь 2023;71;0,001160;
октябрь 2023;85;0,001277;
ноябрь 2023;77;0,001133;
декабрь 2023;96;0,001372;
январь 2024;93;0,001333;
февраль 2024;70;0,001057;
март 2024;189;0,002853;
апрель 2024;269;0,004201;
май 2024;198;0,003291;
июнь 2024;93;0,001726;
июль 2024;104;0,001978;
август 2024;176;0,003409;
сентябрь 2024;226;0,004096;
октябрь 2024;183;0,002927;
ноябрь 2024;213;0,003266;
декабрь 2024;254;0,003693;
январь 2025;366;0,005364;
февраль 2025;314;0,004806;
март 2025;418;0,006150;
апрель 2025;442;0,006757;
май 2025;485;0,008149;
