Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Забайкальский край, все устройства
февраль 2022;37;0,000067;
март 2022;356;0,000611;
апрель 2022;330;0,000583;
май 2022;324;0,000608;
июнь 2022;272;0,000589;
июль 2022;256;0,000578;
август 2022;233;0,000521;
сентябрь 2022;505;0,000962;
октябрь 2022;511;0,000876;
ноябрь 2022;433;0,000693;
декабрь 2022;307;0,000497;
январь 2023;513;0,000831;
февраль 2023;1 000;0,001764;
март 2023;1 170;0,001891;
апрель 2023;885;0,001468;
май 2023;719;0,001274;
июнь 2023;840;0,001763;
июль 2023;772;0,001705;
август 2023;591;0,001296;
сентябрь 2023;416;0,000810;
октябрь 2023;617;0,001061;
ноябрь 2023;693;0,001205;
декабрь 2023;763;0,001272;
январь 2024;1 044;0,001775;
февраль 2024;1 236;0,002200;
март 2024;1 361;0,002489;
апрель 2024;1 150;0,002196;
май 2024;1 122;0,002326;
июнь 2024;977;0,002401;
июль 2024;1 135;0,002908;
август 2024;1 201;0,003049;
сентябрь 2024;1 391;0,003123;
октябрь 2024;1 985;0,003758;
ноябрь 2024;1 963;0,003551;
декабрь 2024;2 139;0,003651;
январь 2025;2 727;0,004777;
февраль 2025;2 849;0,005023;
март 2025;3 503;0,006089;
апрель 2025;3 213;0,005818;
май 2025;3 438;0,006753;
