Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Магаданская область, все устройства
февраль 2022;1;0,000015;
март 2022;40;0,000554;
апрель 2022;42;0,000594;
май 2022;10;0,000139;
июнь 2022;6;0,000095;
июль 2022;7;0,000120;
август 2022;11;0,000184;
сентябрь 2022;19;0,000280;
октябрь 2022;45;0,000606;
ноябрь 2022;79;0,000979;
декабрь 2022;68;0,000900;
январь 2023;67;0,000890;
февраль 2023;96;0,001370;
март 2023;90;0,001182;
апрель 2023;85;0,001165;
май 2023;69;0,000970;
июнь 2023;46;0,000768;
июль 2023;41;0,000709;
август 2023;33;0,000582;
сентябрь 2023;14;0,000218;
октябрь 2023;56;0,000798;
ноябрь 2023;95;0,001362;
декабрь 2023;93;0,001337;
январь 2024;73;0,001049;
февраль 2024;62;0,000926;
март 2024;68;0,000971;
апрель 2024;49;0,000735;
май 2024;86;0,001361;
июнь 2024;54;0,000979;
июль 2024;69;0,001333;
август 2024;72;0,001396;
сентябрь 2024;79;0,001390;
октябрь 2024;81;0,001222;
ноябрь 2024;61;0,000893;
декабрь 2024;85;0,001205;
январь 2025;133;0,001939;
февраль 2025;110;0,001655;
март 2025;156;0,002201;
апрель 2025;153;0,002254;
май 2025;183;0,002820;
