Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Бурятия, все устройства
февраль 2022;27;0,000057;
март 2022;544;0,001126;
апрель 2022;291;0,000625;
май 2022;306;0,000688;
июнь 2022;388;0,000983;
июль 2022;313;0,000820;
август 2022;300;0,000790;
сентябрь 2022;451;0,001021;
октябрь 2022;364;0,000753;
ноябрь 2022;434;0,000869;
декабрь 2022;305;0,000598;
январь 2023;421;0,000840;
февраль 2023;626;0,001381;
март 2023;891;0,001781;
апрель 2023;549;0,001138;
май 2023;525;0,001143;
июнь 2023;525;0,001342;
июль 2023;438;0,001148;
август 2023;609;0,001585;
сентябрь 2023;449;0,001051;
октябрь 2023;499;0,001043;
ноябрь 2023;467;0,000985;
декабрь 2023;541;0,001077;
январь 2024;642;0,001322;
февраль 2024;657;0,001435;
март 2024;846;0,001843;
апрель 2024;731;0,001649;
май 2024;613;0,001482;
июнь 2024;588;0,001649;
июль 2024;683;0,001956;
август 2024;838;0,002383;
сентябрь 2024;910;0,002340;
октябрь 2024;961;0,002139;
ноябрь 2024;1 226;0,002660;
декабрь 2024;1 228;0,002507;
январь 2025;1 485;0,003148;
февраль 2025;1 527;0,003261;
март 2025;2 047;0,004306;
апрель 2025;2 422;0,005226;
май 2025;1 813;0,004244;
