Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Саха (Якутия), все устройства
февраль 2022;9;0,000022;
март 2022;62;0,000156;
апрель 2022;71;0,000187;
май 2022;50;0,000131;
июнь 2022;35;0,000113;
июль 2022;29;0,000097;
август 2022;54;0,000168;
сентябрь 2022;83;0,000237;
октябрь 2022;100;0,000253;
ноябрь 2022;267;0,000622;
декабрь 2022;88;0,000196;
январь 2023;107;0,000236;
февраль 2023;125;0,000309;
март 2023;199;0,000459;
апрель 2023;253;0,000602;
май 2023;139;0,000327;
июнь 2023;202;0,000553;
июль 2023;211;0,000613;
август 2023;200;0,000570;
сентябрь 2023;147;0,000389;
октябрь 2023;192;0,000444;
ноябрь 2023;203;0,000463;
декабрь 2023;179;0,000387;
январь 2024;283;0,000642;
февраль 2024;293;0,000717;
март 2024;340;0,000809;
апрель 2024;376;0,000929;
май 2024;370;0,000963;
июнь 2024;352;0,001071;
июль 2024;385;0,001194;
август 2024;404;0,001259;
сентябрь 2024;421;0,001197;
октябрь 2024;715;0,001705;
ноябрь 2024;656;0,001529;
декабрь 2024;690;0,001513;
январь 2025;920;0,002153;
февраль 2025;810;0,001912;
март 2025;1 074;0,002471;
апрель 2025;1 176;0,002808;
май 2025;925;0,002327;
