Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Хабаровский край, все устройства
февраль 2022;60;0,000089;
март 2022;446;0,000603;
апрель 2022;211;0,000294;
май 2022;214;0,000305;
июнь 2022;267;0,000417;
июль 2022;269;0,000442;
август 2022;224;0,000367;
сентябрь 2022;366;0,000533;
октябрь 2022;358;0,000482;
ноябрь 2022;449;0,000562;
декабрь 2022;297;0,000388;
январь 2023;283;0,000369;
февраль 2023;437;0,000614;
март 2023;439;0,000570;
апрель 2023;410;0,000555;
май 2023;321;0,000454;
июнь 2023;409;0,000648;
июль 2023;385;0,000636;
август 2023;360;0,000602;
сентябрь 2023;417;0,000644;
октябрь 2023;526;0,000732;
ноябрь 2023;567;0,000786;
декабрь 2023;575;0,000784;
январь 2024;802;0,001096;
февраль 2024;861;0,001248;
март 2024;954;0,001346;
апрель 2024;771;0,001147;
май 2024;812;0,001243;
июнь 2024;745;0,001270;
июль 2024;1 039;0,001853;
август 2024;941;0,001700;
сентябрь 2024;1 058;0,001789;
октябрь 2024;1 187;0,001733;
ноябрь 2024;1 314;0,001875;
декабрь 2024;1 234;0,001668;
январь 2025;1 787;0,002480;
февраль 2025;1 800;0,002583;
март 2025;2 271;0,003069;
апрель 2025;2 258;0,003285;
май 2025;2 092;0,003197;
