Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Крым, кроме Севастополь, все устройства
февраль 2022;45;0,000037;
март 2022;673;0,000516;
апрель 2022;413;0,000339;
май 2022;337;0,000283;
июнь 2022;297;0,000257;
июль 2022;352;0,000287;
август 2022;439;0,000338;
сентябрь 2022;649;0,000517;
октябрь 2022;526;0,000409;
ноябрь 2022;488;0,000371;
декабрь 2022;446;0,000331;
январь 2023;529;0,000395;
февраль 2023;396;0,000315;
март 2023;490;0,000369;
апрель 2023;431;0,000337;
май 2023;523;0,000413;
июнь 2023;612;0,000527;
июль 2023;687;0,000552;
август 2023;757;0,000600;
сентябрь 2023;699;0,000551;
октябрь 2023;634;0,000482;
ноябрь 2023;641;0,000483;
декабрь 2023;690;0,000507;
январь 2024;796;0,000574;
февраль 2024;775;0,000627;
март 2024;856;0,000688;
апрель 2024;760;0,000656;
май 2024;790;0,000684;
июнь 2024;818;0,000774;
июль 2024;862;0,000753;
август 2024;1 048;0,000848;
сентябрь 2024;1 105;0,000916;
октябрь 2024;1 441;0,001145;
ноябрь 2024;1 523;0,001174;
декабрь 2024;1 439;0,001065;
январь 2025;2 012;0,001540;
февраль 2025;2 067;0,001647;
март 2025;2 161;0,001686;
апрель 2025;2 520;0,002083;
май 2025;2 393;0,002035;
