Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Севастополь, все устройства
февраль 2022;16;0,000045;
март 2022;286;0,000748;
апрель 2022;268;0,000743;
май 2022;203;0,000569;
июнь 2022;191;0,000549;
июль 2022;97;0,000271;
август 2022;217;0,000586;
сентябрь 2022;202;0,000541;
октябрь 2022;243;0,000631;
ноябрь 2022;185;0,000474;
декабрь 2022;86;0,000216;
январь 2023;108;0,000282;
февраль 2023;141;0,000393;
март 2023;108;0,000279;
апрель 2023;142;0,000388;
май 2023;154;0,000426;
июнь 2023;119;0,000350;
июль 2023;148;0,000429;
август 2023;242;0,000696;
сентябрь 2023;163;0,000466;
октябрь 2023;192;0,000520;
ноябрь 2023;158;0,000423;
декабрь 2023;168;0,000452;
январь 2024;329;0,000894;
февраль 2024;275;0,000806;
март 2024;212;0,000605;
апрель 2024;253;0,000767;
май 2024;220;0,000694;
июнь 2024;226;0,000792;
июль 2024;182;0,000616;
август 2024;199;0,000645;
сентябрь 2024;249;0,000789;
октябрь 2024;291;0,000846;
ноябрь 2024;378;0,001050;
декабрь 2024;374;0,000976;
январь 2025;510;0,001357;
февраль 2025;499;0,001359;
март 2025;516;0,001332;
апрель 2025;603;0,001602;
май 2025;498;0,001374;
