Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Карачаево-Черкесская Республика, все устройства
февраль 2022;8;0,000059;
март 2022;113;0,000797;
апрель 2022;112;0,000856;
май 2022;46;0,000350;
июнь 2022;45;0,000375;
июль 2022;42;0,000359;
август 2022;18;0,000156;
сентябрь 2022;44;0,000355;
октябрь 2022;80;0,000586;
ноябрь 2022;105;0,000764;
декабрь 2022;76;0,000494;
январь 2023;55;0,000370;
февраль 2023;64;0,000459;
март 2023;65;0,000442;
апрель 2023;48;0,000343;
май 2023;43;0,000321;
июнь 2023;94;0,000796;
июль 2023;116;0,000980;
август 2023;97;0,000818;
сентябрь 2023;57;0,000464;
октябрь 2023;71;0,000505;
ноябрь 2023;97;0,000686;
декабрь 2023;50;0,000345;
январь 2024;77;0,000522;
февраль 2024;70;0,000505;
март 2024;93;0,000671;
апрель 2024;127;0,001010;
май 2024;117;0,000912;
июнь 2024;73;0,000659;
июль 2024;82;0,000714;
август 2024;118;0,001052;
сентябрь 2024;53;0,000449;
октябрь 2024;183;0,001383;
ноябрь 2024;174;0,001271;
декабрь 2024;245;0,001657;
январь 2025;270;0,001810;
февраль 2025;223;0,001523;
март 2025;295;0,002009;
апрель 2025;332;0,002280;
май 2025;239;0,001759;
