Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Дагестан, все устройства
февраль 2022;67;0,000089;
март 2022;450;0,000547;
апрель 2022;303;0,000404;
май 2022;331;0,000449;
июнь 2022;281;0,000419;
июль 2022;211;0,000313;
август 2022;219;0,000318;
сентябрь 2022;316;0,000424;
октябрь 2022;243;0,000300;
ноябрь 2022;243;0,000301;
декабрь 2022;250;0,000300;
январь 2023;279;0,000343;
февраль 2023;287;0,000380;
март 2023;420;0,000540;
апрель 2023;261;0,000351;
май 2023;318;0,000430;
июнь 2023;391;0,000595;
июль 2023;479;0,000707;
август 2023;384;0,000564;
сентябрь 2023;261;0,000362;
октябрь 2023;380;0,000492;
ноябрь 2023;342;0,000445;
декабрь 2023;440;0,000541;
январь 2024;372;0,000455;
февраль 2024;429;0,000574;
март 2024;557;0,000737;
апрель 2024;451;0,000687;
май 2024;381;0,000551;
июнь 2024;438;0,000718;
июль 2024;529;0,000843;
август 2024;559;0,000814;
сентябрь 2024;476;0,000720;
октябрь 2024;644;0,000881;
ноябрь 2024;619;0,000734;
декабрь 2024;720;0,000883;
январь 2025;784;0,001000;
февраль 2025;812;0,001069;
март 2025;1 066;0,001428;
апрель 2025;1 155;0,001484;
май 2025;1 098;0,001539;
