Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Республика Ингушетия, все устройства
февраль 2022;9;0,000101;
март 2022;73;0,000744;
апрель 2022;8;0,000094;
май 2022;14;0,000163;
июнь 2022;20;0,000247;
июль 2022;11;0,000137;
август 2022;11;0,000139;
сентябрь 2022;15;0,000179;
октябрь 2022;8;0,000088;
ноябрь 2022;14;0,000147;
декабрь 2022;8;0,000083;
январь 2023;13;0,000135;
февраль 2023;13;0,000149;
март 2023;12;0,000129;
апрель 2023;11;0,000135;
май 2023;18;0,000207;
июнь 2023;15;0,000193;
июль 2023;23;0,000293;
август 2023;34;0,000430;
сентябрь 2023;23;0,000279;
октябрь 2023;51;0,000566;
ноябрь 2023;22;0,000239;
декабрь 2023;27;0,000278;
январь 2024;47;0,000483;
февраль 2024;32;0,000366;
март 2024;51;0,000607;
апрель 2024;29;0,000402;
май 2024;37;0,000460;
июнь 2024;42;0,000586;
июль 2024;32;0,000435;
август 2024;37;0,000494;
сентябрь 2024;34;0,000460;
октябрь 2024;45;0,000539;
ноябрь 2024;40;0,000469;
декабрь 2024;69;0,000726;
январь 2025;57;0,000622;
февраль 2025;64;0,000735;
март 2025;92;0,001132;
апрель 2025;119;0,001320;
май 2025;58;0,000702;
