Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Ставропольский край, все устройства
февраль 2022;76;0,000054;
март 2022;1 280;0,000828;
апрель 2022;773;0,000543;
май 2022;623;0,000426;
июнь 2022;494;0,000366;
июль 2022;598;0,000446;
август 2022;614;0,000453;
сентябрь 2022;901;0,000621;
октябрь 2022;864;0,000555;
ноябрь 2022;875;0,000552;
декабрь 2022;878;0,000552;
январь 2023;1 020;0,000641;
февраль 2023;1 322;0,000911;
март 2023;966;0,000614;
апрель 2023;845;0,000568;
май 2023;822;0,000553;
июнь 2023;1 251;0,000927;
июль 2023;1 472;0,001109;
август 2023;1 371;0,001044;
сентябрь 2023;1 050;0,000769;
октябрь 2023;1 115;0,000757;
ноябрь 2023;1 309;0,000883;
декабрь 2023;1 238;0,000826;
январь 2024;1 565;0,001030;
февраль 2024;2 075;0,001469;
март 2024;2 672;0,001849;
апрель 2024;3 324;0,002488;
май 2024;2 681;0,001997;
июнь 2024;1 896;0,001581;
июль 2024;3 107;0,002559;
август 2024;3 441;0,002826;
сентябрь 2024;3 715;0,002893;
октябрь 2024;4 139;0,002940;
ноябрь 2024;4 380;0,003021;
декабрь 2024;5 152;0,003397;
январь 2025;6 236;0,004118;
февраль 2025;5 168;0,003544;
март 2025;7 528;0,004978;
апрель 2025;6 745;0,004449;
май 2025;5 398;0,003886;
