Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Чеченская Республика, все устройства
февраль 2022;50;0,00023;
март 2022;90;0,00038;
апрель 2022;48;0,00023;
май 2022;73;0,00034;
июнь 2022;53;0,00028;
июль 2022;59;0,00032;
август 2022;41;0,00022;
сентябрь 2022;34;0,00017;
октябрь 2022;40;0,00018;
ноябрь 2022;58;0,00025;
декабрь 2022;75;0,00030;
январь 2023;79;0,00026;
февраль 2023;74;0,00028;
март 2023;68;0,00027;
апрель 2023;46;0,00020;
май 2023;44;0,00019;
июнь 2023;48;0,00026;
июль 2023;41;0,00022;
август 2023;53;0,00029;
сентябрь 2023;59;0,00029;
октябрь 2023;90;0,00041;
ноябрь 2023;89;0,00039;
декабрь 2023;106;0,00043;
январь 2024;93;0,00039;
февраль 2024;85;0,00039;
март 2024;55;0,00026;
апрель 2024;47;0,00025;
май 2024;70;0,00035;
июнь 2024;103;0,00061;
июль 2024;77;0,00046;
август 2024;87;0,00052;
сентябрь 2024;67;0,00037;
октябрь 2024;104;0,00052;
ноябрь 2024;102;0,00047;
декабрь 2024;111;0,00045;
январь 2025;140;0,00059;
февраль 2025;123;0,00056;
март 2025;149;0,00068;
апрель 2025;183;0,00076;
май 2025;166;0,00076;
