Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Курганская область, все устройства
февраль 2022;26;0,000053;
март 2022;377;0,000767;
апрель 2022;150;0,000332;
май 2022;228;0,000510;
июнь 2022;153;0,000373;
июль 2022;136;0,000345;
август 2022;144;0,000366;
сентябрь 2022;226;0,000529;
октябрь 2022;215;0,000464;
ноябрь 2022;240;0,000500;
декабрь 2022;232;0,000470;
январь 2023;317;0,000653;
февраль 2023;333;0,000741;
март 2023;356;0,000730;
апрель 2023;238;0,000525;
май 2023;249;0,000581;
июнь 2023;200;0,000500;
июль 2023;230;0,000592;
август 2023;273;0,000697;
сентябрь 2023;279;0,000678;
октябрь 2023;236;0,000516;
ноябрь 2023;345;0,000755;
декабрь 2023;350;0,000721;
январь 2024;537;0,001145;
февраль 2024;545;0,001231;
март 2024;513;0,001144;
апрель 2024;614;0,001393;
май 2024;651;0,001579;
июнь 2024;692;0,001972;
июль 2024;682;0,001956;
август 2024;771;0,002208;
сентябрь 2024;882;0,002435;
октябрь 2024;1 184;0,002815;
ноябрь 2024;1 136;0,002630;
декабрь 2024;1 251;0,002787;
январь 2025;1 681;0,003763;
февраль 2025;1 718;0,004039;
март 2025;1 584;0,003602;
апрель 2025;1 647;0,003895;
май 2025;1 456;0,003699;
