Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Костромская область, все устройства
февраль 2022;30;0,000070;
март 2022;331;0,000710;
апрель 2022;235;0,000533;
май 2022;136;0,000306;
июнь 2022;159;0,000408;
июль 2022;162;0,000418;
август 2022;144;0,000370;
сентябрь 2022;303;0,000704;
октябрь 2022;398;0,000858;
ноябрь 2022;343;0,000742;
декабрь 2022;206;0,000447;
январь 2023;293;0,000633;
февраль 2023;407;0,000960;
март 2023;315;0,000675;
апрель 2023;317;0,000741;
май 2023;380;0,000897;
июнь 2023;243;0,000633;
июль 2023;228;0,000587;
август 2023;293;0,000783;
сентябрь 2023;303;0,000767;
октябрь 2023;316;0,000712;
ноябрь 2023;382;0,000872;
декабрь 2023;332;0,000757;
январь 2024;422;0,000943;
февраль 2024;485;0,001168;
март 2024;584;0,001382;
апрель 2024;545;0,001352;
май 2024;459;0,001175;
июнь 2024;491;0,001416;
июль 2024;636;0,001816;
август 2024;582;0,001667;
сентябрь 2024;509;0,001395;
октябрь 2024;645;0,001554;
ноябрь 2024;746;0,001761;
декабрь 2024;898;0,002063;
январь 2025;1 044;0,002389;
февраль 2025;1 056;0,002528;
март 2025;1 185;0,002741;
апрель 2025;1 569;0,003757;
май 2025;1 228;0,003135;
