Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Тюменская область, все устройства
февраль 2022;46;0,000037;
март 2022;312;0,000245;
апрель 2022;278;0,000232;
май 2022;301;0,000256;
июнь 2022;280;0,000262;
июль 2022;238;0,000233;
август 2022;205;0,000201;
сентябрь 2022;390;0,000333;
октябрь 2022;343;0,000272;
ноябрь 2022;280;0,000217;
декабрь 2022;308;0,000229;
январь 2023;406;0,000318;
февраль 2023;687;0,000579;
март 2023;491;0,000380;
апрель 2023;534;0,000432;
май 2023;406;0,000351;
июнь 2023;458;0,000430;
июль 2023;512;0,000501;
август 2023;457;0,000444;
сентябрь 2023;386;0,000339;
октябрь 2023;475;0,000380;
ноябрь 2023;559;0,000451;
декабрь 2023;538;0,000416;
январь 2024;980;0,000789;
февраль 2024;1 225;0,001012;
март 2024;1 154;0,000952;
апрель 2024;1 196;0,001018;
май 2024;1 269;0,001112;
июнь 2024;1 186;0,001222;
июль 2024;1 489;0,001557;
август 2024;1 289;0,001346;
сентябрь 2024;1 486;0,001408;
октябрь 2024;2 075;0,001729;
ноябрь 2024;2 107;0,001718;
декабрь 2024;1 962;0,001540;
январь 2025;2 399;0,001949;
февраль 2025;2 345;0,001934;
март 2025;2 400;0,001881;
апрель 2025;2 860;0,002333;
май 2025;2 283;0,002019;
