Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Челябинская область, все устройства
февраль 2022;82;0,000034;
март 2022;1 011;0,000393;
апрель 2022;600;0,000249;
май 2022;669;0,000288;
июнь 2022;761;0,000364;
июль 2022;641;0,000327;
август 2022;578;0,000288;
сентябрь 2022;1 044;0,000464;
октябрь 2022;1 305;0,000533;
ноябрь 2022;1 022;0,000410;
декабрь 2022;811;0,000317;
январь 2023;1 294;0,000516;
февраль 2023;1 235;0,000529;
март 2023;1 225;0,000486;
апрель 2023;1 155;0,000494;
май 2023;952;0,000423;
июнь 2023;1 032;0,000498;
июль 2023;879;0,000440;
август 2023;992;0,000482;
сентябрь 2023;845;0,000370;
октябрь 2023;1 113;0,000452;
ноябрь 2023;1 589;0,000657;
декабрь 2023;1 472;0,000583;
январь 2024;1 768;0,000708;
февраль 2024;2 081;0,000883;
март 2024;2 676;0,001126;
апрель 2024;2 589;0,001176;
май 2024;2 636;0,001219;
июнь 2024;2 259;0,001214;
июль 2024;2 378;0,001288;
август 2024;2 830;0,001529;
сентябрь 2024;3 060;0,001557;
октябрь 2024;3 631;0,001580;
ноябрь 2024;4 407;0,001895;
декабрь 2024;4 948;0,002048;
январь 2025;6 252;0,002652;
февраль 2025;6 254;0,002707;
март 2025;6 766;0,002828;
апрель 2025;6 894;0,003028;
май 2025;5 474;0,002626;
