Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Ямало-Ненецкий автономный округ, все устройства
февраль 2022;14;0,000034;
март 2022;85;0,000201;
апрель 2022;64;0,000156;
май 2022;63;0,000166;
июнь 2022;90;0,000290;
июль 2022;74;0,000268;
август 2022;27;0,000094;
сентябрь 2022;112;0,000305;
октябрь 2022;162;0,000390;
ноябрь 2022;108;0,000249;
декабрь 2022;75;0,000171;
январь 2023;159;0,000367;
февраль 2023;127;0,000313;
март 2023;119;0,000271;
апрель 2023;124;0,000289;
май 2023;148;0,000381;
июнь 2023;113;0,000370;
июль 2023;121;0,000451;
август 2023;83;0,000305;
сентябрь 2023;79;0,000226;
октябрь 2023;124;0,000307;
ноябрь 2023;107;0,000267;
декабрь 2023;167;0,000403;
январь 2024;184;0,000457;
февраль 2024;238;0,000601;
март 2024;311;0,000770;
апрель 2024;312;0,000788;
май 2024;251;0,000692;
июнь 2024;254;0,000914;
июль 2024;303;0,001219;
август 2024;251;0,000997;
сентябрь 2024;453;0,001443;
октябрь 2024;463;0,001226;
ноябрь 2024;516;0,001310;
декабрь 2024;481;0,001186;
январь 2025;524;0,001348;
февраль 2025;614;0,001558;
март 2025;721;0,001769;
апрель 2025;641;0,001623;
май 2025;584;0,001649;
