Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «выплаты погибшим», по месяцам, 01.02.2022 — 31.05.2025, Курская область, все устройства
февраль 2022;26;0,000030;
март 2022;413;0,000464;
апрель 2022;293;0,000348;
май 2022;231;0,000284;
июнь 2022;304;0,000425;
июль 2022;279;0,000396;
август 2022;172;0,000244;
сентябрь 2022;364;0,000451;
октябрь 2022;445;0,000509;
ноябрь 2022;403;0,000461;
декабрь 2022;455;0,000522;
январь 2023;609;0,000699;
февраль 2023;622;0,000771;
март 2023;721;0,000821;
апрель 2023;596;0,000731;
май 2023;456;0,000579;
июнь 2023;541;0,000749;
июль 2023;484;0,000692;
август 2023;471;0,000693;
сентябрь 2023;553;0,000752;
октябрь 2023;642;0,000768;
ноябрь 2023;676;0,000813;
декабрь 2023;570;0,000686;
январь 2024;679;0,000804;
февраль 2024;764;0,000959;
март 2024;885;0,001100;
апрель 2024;859;0,001143;
май 2024;834;0,001140;
июнь 2024;910;0,001410;
июль 2024;734;0,001166;
август 2024;874;0,001456;
сентябрь 2024;845;0,001135;
октябрь 2024;1 145;0,001417;
ноябрь 2024;1 189;0,001430;
декабрь 2024;1 292;0,001486;
январь 2025;1 673;0,001968;
февраль 2025;1 647;0,002041;
март 2025;1 899;0,002237;
апрель 2025;2 022;0,002540;
май 2025;1 870;0,002457;
